text,label
me too! I've been feeling horrible about it...but better than writing when I'm not inspired.,0
"Today seems like a great day to get married! Ernst and Judith good luck, I'll be there to celebrate this day!",0
Gambatte ne! My brother's math competition,0
Ugh! 9 am but feels like 5 am ... thankfully B left me coffee ... thanks B xox,0
be back laterzzz tweeters!,0
"""The Barrel"" with my lady!",0
"Getting dressed for the EU voting now. Mmmh, I guess it will be something green!",0
yay done with study guides. now to actually study.,0
Clearly you suck at the internetz,0
why o why do i drink? and why does it hate me so much!!!!,0
"aww you're one of my favs too and lol at the car payments, i know what you mean sorta haha",0
"Punky Brewster is a hip hop head? That's insane! And, yet, extremely awesome!",0
Im 32wk today @davidotis try to keep up,0
damn left nostril is so clogged that i can't breathe out of it. damn you weather.,0
"ahhh, no more school. downside is work",0
It's a beautiful morning,0
made tic tac toe in 3 hours. (proud of self),0
"I haven't been playing piano for ages, and it really shows. I suck! Perhaps I should practice some more...",0
Watching Top Chef in my Top Chef shirt. How Cool Am I?!?!?!?!,0
We just got in from our midnight dig walk. So nice. It's scary to know that rapes have been taking place so close to here,0
thinks she has the bestest boyfriend for buying me a sega megadrive,0
not even sure what freaking happen but all I know is only the first paragraph is left. I think I'll cry now.,0
didn't see you at tuttle would have loved to have had a chat about your bees.,0
is in for the night. What a lame Friday..,0
the problem is that I _love_ to do everything myself,0
"I've come to the opinion that Telstra hate iiNet, there are always problems at the Telstra exchanges when moving",0
Anytime...best of luck...y'all are doing a great thing...God bless you!,0
2am and cant sleep Help,0
I think its possibly time for some marble slab ice cream,0
Time for Push Circuit 2. My poor kitty still sick. Will be bringing him in today.,0
"I am bummed, because I can't get my Bose surround system to turn on",0
chantel wants to know what the random bands name is...and its not mcfly...,0
i am freezing at the moment.. it's probably like 10 degree's or less.,0
Can't wait for new moon jacob shirtless gahhhhhhh!,0
i'm tired of feeling sick,0
listening to paranoid... nick makes me smile BUTTERFLIEZZZ,0
"haha no u cant do any of the above,anyways it has washed off now lol.meet her twice last year",0
"I've noticed similar, but I've not used it for a good while. Prob'ly should really",0
Drunk texts always make me smile.,0
Pistol keeps barking at my reflection in the mirror. Time to cover it up and get some sleep. Silly little dog.,0
"It's beautiful out today listening to The Bigger Lights on shuffle, they're my favorite band at the moment <3",0
On my way to the jonas brother's concert with demi lovato opening wooooo,0
"you are welcome! Thanks for the well wishes, the same to you!",0
lol shut up!!! i have to be at work in the am...,0
"I want a dog! But I can't have them in my apartment, plus they're expensive",0
my boyfriend told me the only way he would come see me is if he had a face mask and gloves ...stupid flu,0
is gonna go to sleep- dont think mums coming home anytime soon haha computer screen is shaking ive been on far too long,0
Ha ha just meeting up with some friends before we head out to Urbanattics later. And for shopping of course,0
bed time! night yall!,0
"ew, i hate sundays...school tomorrow",0
morning! i slept like a little angel last night,0
"Eeeeew, the smell of cow poo is so disgusting! Can smell it from inside the train",0
"Add Caffeine, some Red Bull and Santana music to all that sugar. Tweet us in the morning.",0
lol..no way.. That worked?!?! Who knew.. well that's cool.,0
one thing that im doing tonight.... downloading Jonas Brothers music.. mmm Joe,0
jumpin' on my trampoline,0
Had to come back to work to rest from all the yard work this past weekend Can't believe it's the first of June already!,0
Yay for joining twitter!! this is so exciting!,0
is having a bbq and beer this evening!! still not found new car though,0
enjoy the milk #gotmilk,0
I LOVE PEOPLE BISEXUAL,0
i join you in the sickness train!! it sucks,0
Cant log into regular Twitter.,0
I picked up another Alliance Blue at a store during a walk. They didn't have Horde Red. Now I feel like my pH balance is off,0
"reAserchiNg..i'D raTher say im pLaying, bUt im not",0
i woke up with a sore throat too,0
I just ordered an of Montreal cd and a matt pond pa LP w/digital download from Polyvinyl all under $20,0
I wonder what's Miley's big news .. don't tell me they're going to stop making Hannah Montana,0
COUNTDOWN!! 30 minutes until KORN!!,0
My day didn't go as planned but I still had a great time. Good nite beautiful ppl...tomorrow I get to stay in bed all day,0
"thinking im getting old, my knee hurts for walking in high heels all weekend and partying",0
"I'm going through everything I need to get done before the shoot tomorrow and the worry is keeping me up, can't fall asleep again",0
yess! talking 2 a hott guy! happy ass fuk!,0
Going to work... Wish i was still in bed...,0
unpacking my new apartment,0
Was a great day till now. Choked on water wail laughing in the car and puked all over the place wail on the highway.,0
"Lol, I'm sure I could keep you awake if you wanted.",0
Who wants to stand in line with me tomorrow for iPhone. Mine was not secured as planned 5th ave in Clinton Hill,0
Hope you enjoy your time in LA Have a great trip!,0
Headed to mission hill for a small house party then off to Allston to celebrate Fe's 21st at Wonderbar! Sounds like a good night to me,0
I'll be there Saturday night!,0
sure!! i will write too...and u have to wait a little...cos im going away for a week and u must also tell me what we rite abt,0
Snow? I'm going to the gym anyways! Day 6 of Body for Life.,0
yea probably not well its probaly definite that she'll b there watchin,0
yuppieee doodoooo! haha yeh! enjoy your rest of your week! i seeyaaaa soon (;,0
"SHARON!!!!! lol, track and field, my ozzie glasses, cameron got heat exhaustion, good times, good times",0
has got the shield season five! i will watch it... now! turning my phone off to avoid distractions.,0
ohhhh demi your pic looks really vampy!!! In a good way!,0
"please come back home soon baby, i don't wanna take another night without you here",0
crazy busy for the next few days. I need a break,0
I am actually excited to see Tay and T-Pain(unlike@jknight291) . I love when diff. Genres of music collide and c what the outcome is like,0
She was off when I went for a visit. Spent the whole summer there getting her back on track. Didn't last long after I left.,0
well my rebate request was invalid. now i dont get my 50 dollars back.,0
Is missin my @mimichoc nobody told her ass to better herself and take summer classes,0
really wanted to be at campies tonite... but i was picnic-ing with family and didn't expect to return to blr only @ 9pm!,0
"I remember when you first got into Leopold and Loeb, and the book scared you and you couldn't sleep... poor lulu",0
I'm not cut out for the design world. I don't have the patience...kill me right now...I'll never make it to the weekend. /sigh,0
"samesies, but i'm too sleepy to watch. quite upsetting",0
Dont you hate when you forget something. I feel lost without my cell phone,0
I don't think so.. we just have like 2 weeks... he is going to goo...,0
Woke up far too early this morning. But it should be a good day.,0
