"text","label"
"Win a 1000 cash prize or a prize worth 5000","2"
"Camera You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days","2"
"Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile 100 FREE text FREE camcorder Reply or Call 08000930705","2"
"LookAtMe! Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.","2"
"cheap oem software shipping worldwide . sextet lindholm band ago , made suffix . close ask believe . game good until saw . problem act side fact . stead several stead us . fun color , mean don ' t an south . spell wish carry , know interest . coast happen general well , women , lake before . egg see picture .","2"
"5 guaranteed for eight years 5 guaranteed for 8 years effective yield 8 year surrender period please fax back contracts with a copy of your insurance license to 215 564 0155 . issued to age 90 a rated company alternative 10 year guaranteed plan call today for more information ! or please fill out the form below for more information name address city state zip phone fax e mail we don ' t want anyone to receive our mailings who does not wish to receive them . this is a professional communication sent to insurance professionals . to be removed from this mailing list , do not reply to this message . instead , go here http www . insuranceiq . com optout legal notice","2"
"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p","2"
"accordingly. I repeat, just text the word ok on your mobile phone and send","2"
"Below is the result of your feedback form. It was submitted by jamiemsn.com on Tuesday, August 27, 2002 at 222656 click hereDon't want to pay for Porn? Would you like to get it for FREE? The Honest, No Risk 100 Free Way? If you take a couple of minutes and read through our simple guide you will be able to get Free Passes to the top Paysites online!click here","2"
"FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150ptone 16","2"
"Ur TONEXS subscription has been renewed and you have been charged 4.50. You can choose 10 more polys this month. www.clubzed.co.uk BILLING MSG","2"
"Ringtone Club Gr8 new polys direct to your mobile every week !","2"
"WINNER!! As a valued network customer you have been selected to receivea 900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.","2"
"PRIVATE! Your 2003 Account Statement for fone no shows 800 unredeemed S. I. M. points. Call 08715203656 Identifier Code 42049 Expires 261004","2"
"FREE MSGWe billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline","2"
"LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy one gbpsms","2"
"U have a secret admirer who is looking 2 make contact with Ufind out who they Rreveal who thinks UR so specialcall on 09058094599","2"
"U are subscribed to the best Mobile Content Service in the UK for 3 per ten days until you send STOP to 83435. Helpline 08706091795.","2"
"Latest News! Police station toilet stolen, cops have nothing to go on!","2"
"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a 500 prize! Txt wordCOLLECT to No83355! TCLLC NYUSA 150pMt msgrcvd18","2"
"from www.Applausestore.com MonthlySubscription50pmsg max6month TCsC web age16 2stop txt stop","2"
"Ur cashbalance is currently 500 pounds to maximize ur cashin now send GO to 86688 only 150pmsg. CC 08718720201 PO BOX 11414 TCRW1","2"
"FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150ptone 16","2"
"A 400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a 400 reward. Just call 09066380611","2"
"ATTNI am Bulawa Mulete JR. the son of Mr. STEVE MBEKI MULETE from Zimbabwe. I am sorry this mail Will surprise you, though we do not know, Due to the current war against white farmers in Zimbabwe and the support of President Robert Mugabe to Claim all white owned farms in our country to gain Favor for reelection.All white farmers were asked to Surrender their farms to the government for Redistribution and infact to his political party Members and my father though black was the treasury of the farmers association and a strong member of an Opposition party that did not support the president Idea. He then ordered his party members and the police Under his pay row to invade my father's farm and burn Down everything in the farm. They killed my Father and took away a lot of items from his farm. After the death of my father, our local pastor and a Close friend of my father handed us over will Documents with instructions from my father that we Should leave Zimbabwe incase anything happen to him. The will Documents has a certificate of deposit, confirming a deposit Kept in custody for us in a security company unknown To the company that the content is money hence it was deposited as Personal belongings and ensure that we do not remain here as we could Easily be found by his enemies. The total amount is US21.5M.We are therefore soliciting for Your assistance to help us move the fund out of Zimbabwe, as our fate and future is far from reality, hence this mail to you. The president's present ban of International Press into Zimbabwe and the drop from office of the Finance Minister to avoid giving white farmers fund Transfer Clearance above US1M is just a few of the Unthinkable things he is committing in my Country. I have tried to reach my father's close friend Mr. John Casahans from Australia also a farmer who was Leaving in Zimbabwe with us but left with his family Late last year following this ugly development to no Avail. Should you be interested to help us, contact me Immediately via email for easy communication and I Will furnish you with the time frame and modalities of the transaction. We have concluded a wonderful plan of Caring out the transfer within two weeks. Please note that This transaction is100 confidential and risk free and will Not endanger you or us in any way. We have resolved to give you 20 Of the total sum upon confirmation of the fund in any Account of your choice were the incident of taxation will not take much tool on the money and we look Forward to coming over to your country to invest our Share and settle there. I will a private Phone so that our conversation can be 100 confidential.NOTE DO REPLY TO bulmuletegolfemail.com God bless you indeed as you help yourself and us.Mr. BULAWA MULETE JR Irish Linux Users' Group iluglinux.ie httpwww.linux.iemailmanlistinfoilug for unsubscription information. List maintainer listmasterlinux.ie","2"
"URGENT! We are trying to contact you. Last weekends draw shows that you have won a 900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only","2"
"Sppok up ur mob with a Halloween collection of nokia logopic message plus a FREE eerie tone, txt CARD SPOOK to 8007","2"
"Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX 1.50","2"
"If you don't, your prize will go to another customer. TC at www.tc.biz 18 150pmin Polo Ltd Suite 373 London W1J 6HL Please call back if busy","2"
"PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 unredeemed S. I. M. points. Call 08719899217 Identifier Code 41685 Expires 071104","2"
"Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk","2"
"Thanks for your ringtone order, ref number R836. Your mobile will be charged 4.50. Should your tone not arrive please call customer services on 09065069154","2"
"datingi have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?","2"
"PRIVATE! Your 2003 Account Statement for shows 800 unredeemed S. I. M. points. Call 08718738002 Identifier Code 48922 Expires 211104","2"
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry questionstd txt rateTC's apply 08452810075over18's","2"
"Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx","2"
"Natalja 25F is inviting you to be her friend. Reply YES440 or NO440 See her www.SMS.acunat27081980 STOP? Send STOP FRND to 62468","2"
"Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821","2"
"this is new at 95 . 8 capital fm do n't want to receive these emails ? 20 click the following link to remove your address from our mailing list 20 http capitalfm . com unsubscribe this is new at http capitalfm . com fantasy record label take your favourite bands to the top . london fashion week chat to the stars of the fashion world ! sportstime live action and big games . shop all your favourite music to your doorstep . fantasy record label take your favourite bands to the top . think you ' ve got what it takes to be a success in the music biz ? from sunday 27th you can try your hand with the return of the stunning fantasy record label game win new amazing prizes at http capitalfm . com london fashion week the stars and the fashions . britain 's premiere event in the fashion calendar begins on friday 25th , and it ' ll all be happening right on your screen . you ' ll be able to chat to models catherine hawley and lorato and designers from giant and workers for freedom , on monday the 28th of september at 7 . 30pm . so if you want to ask the advice of a host of top industry stars go straight to http capitalfm . com sportstime live action and big games . on saturday it 's sheffield wednesday v arsenal as the champions look to move up a gear following a sluggish start to the season . . . there 's the september player of the month vote . . . plus previews , reports and goal action from all the big soccer fixtures at http capitalfm . com shop all your favourite music to your doorstep . our new music shop is going down a storm , and if you have n't checked out how easy it is to buy the latest and greatest music , do n't hesitate ! everything is done from your desktop and the next thing you know your favourite music is in your mailbox . and we ' re always here to help should you have any questions . for a new music buying experience come to http capitalfm . com advertisement 20 o 20 cd paradise . com looking for nirvana ? come to cd paradise ! 20 cd 's at up to 30 discount 20 20 kenickie get in 9 . 79 new release all saints all saints 11 . 99 the manic street 20 aqua aquarium 12 . 74 preachers 20 boyzone where we belong 12 . 74 latest album 20 mike oldfield tubular bells 3 12 . 74 order o 20 today 20 cd paradise 20 http www . cdparadise . com hme hmepge . asp ? shop 3d2673 20","2"
"Bored housewives! Chat n date now! 0871750.77.11! BTnational rate 10pmin only from landlines!","2"
"Collect your VALENTINE'S weekend to PARIS inc Flight Hotel 200 Prize guaranteed! Text PARIS to No 69101. www.rtf.sphosting.com","2"
"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?","2"
"Ur HMV Quiz cashbalance is currently 500 to maximize ur cashin now send HMV1 to 86688 only 150pmsg","2"
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to httpwww.etlp.co.ukexpressoffer TsCs apply. To stop texts, txt STOP to 80062","2"
