text,label
http://www.ermail.pl/dolacz/UnNfY2I= Please click on the link,1
Please share and help to my Friend! http://www.gofundme.com/jormis Thank you very much!,1
", awww, that's adorable! My husband I do that too (also with TV quotes), it helps to create that special ""family"" language",0
subscribe to itz recaps and above diddle,1
Anyone have ideas for new websites?,0
"Hey guys go to check my video name ""growtopia my story""",1
All I want to do is hold my baby but my c section pain is bringing me down when does it get better??,0
UR awarded a City Break and could WIN a 200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age161.50perWKsub,2
You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,2
"To work and then off to Premiere...wonder what this year will hold? Lots of brutal heat, keratin treatments and other curl-killing, I bet",0
YOU ARE CHOSEN TO RECEIVE A 350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,2
Science class. Still trying to get this politics crap done.,0
Check out this video on YouTube:fb i,1
"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a 500 prize! Txt word COLLECT to No 83355! IBHltd LdnW15H 150pMtmsgrcvd18",2
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. TC's apply. Optout availa",2
"Taking a quiz, & I'm cold",0
Hey plz check out my music video. Thanks!! :-),1
great l subscribe,1
im actually so bored and i have to work late grrrr.....,0
SO THEN HOW ARE YOU GOING TO CALL YOURSELF A INSTRUMENTAL SONGWRITER IF THERES NO SINGING THERES NO SONG TO WRITE!?!?! LOL. YOU GOT ALOT TO LEARN KID BUT HEY DON'T FORGET TO SUBSCRIBE!,1
Thanks for #FollowFriday!,0
my boyfriend told me the only way he would come see me is if he had a face mask and gloves ...stupid flu,0
This has got to be one of the best days of study leave,0
"Repair Your Credit Online!It's the Online Credit Breakthroughyou've been waiting for!In less than 5 minutes, directly from the comfort convienience of your computer,yP5a9D3tsJ53xfOCWG6of1WjWsoNNKiGArhp91FSrRRbNKrTeyXhNoOQkOiRqs8qyfVkPFQGKNfyou could be repairing your credit!You can watch DAILY REAL TIME UPDATES, as you fix your problems Get the information you need quickly and efficently to remove the negative credit items from your report!Click Here For More InformationThank you The Web Credit tm Team yP5a9D3tsJ53xfOCWG6of1WjWsoNNKiGArhp91FSrRRbNKrTeyXhNoOQkOiRqs8qyfVkPFQGKNf",2
(( rapid facebook )) the free version of all colors and is characterized by fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid,1
"Eating beehoon, reminds me so much of the days in sec sch when Diana, Xq, Vivian and I packed beehoon to class. Miss you guys",0
"Last Chance! Claim ur 150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. 3.00 Sub. 16",2
"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p",2
"Hey guys please check out my new Google+ page it has many funny pictures, FunnyTortsPics https://plus.google.com/112720997191206369631/post",1
enjoy the milk #gotmilk,0
IIIIIIIIIII LOVE THIS SHAKE IT SONG OH SORRY EVERY SHAKE IT SONG I LIKE WATCH SUBSCRIBE AND NEVER UNLIKE BROOOOO!!!!!!!!!!! SHAKE IT UP,1
interns! I would have sent cookies if I had known,0
thinks she has the bestest boyfriend for buying me a sega megadrive,0
Pls follow this channel!! http://www.twitch.tv/sevadus,1
Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,2
i rekt ur mum last nite. cuz da haterz were 2 much 4 meh lik dis if u cri evertim and sponswer mi robox vidz https://www.indiegogo.com/projects/gimme-dem-moneyz-4-roblox/x/8851222#home,1
"need a graphic artist ? come here . thinking of breathing new life into your business ? start from revamping its front endlogo and visualidentity . we offer creative custom design of ioqos , stationery and web sites . under our carefui hand thesepowerful marketinq tools wiil brinq a breath of fresh air into your business and make you stand out amongthe competitors . you are just a click away from your future success . ciick here to see the samples of our artwork , checkour prices and hot offers . not interested . . .",2
About to voy a alex nasas house. Flippin sweet. I love that kid,0
"Loving the sun today, even thought I should be revising. Not a good day though, been at Kates all afty, shit day for her bless her x",0
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7",2
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,2
"""His Hexy! I meant to say Hot but then I started to say Sexy""",0
Please.. Check my channel out:) I subscribe back..;),1
"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making Launchpad Video's! :D I would really appreciate if i got some subs before i started so that people can spot me easily! I dont really care about hate comments so dont bother -_-",1
Lol check out my chanell and subscribe please i want 5000 subs thats it im nearly their now,1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! Why does the answer rehabilitate the blushing limit? The push depreciateds the steel. How does the beautiful selection edit the range",1
unpacking my new apartment,0
"I find out today why I have been having dizzy spells, I hope it's nothing serious",0
"more than 100 , 000 u . s . jobs available are you looking for a job ? are you planning for a career change ? does your current job pay you little than the salary you deserved ? do you want information about who is currently hiring and their rates ? if you answer yes to any of the above questions , then visiting jobgalleriescom might help you . jobgalleriescom allows you to search for jobs , save your resume and cover letters , apply on line , and create a job search agent . and more , jobgalleriescom services to job seekers is 100 is definitely one of the top career site in the internet . visit jobgalleriescom and access more than 100 , 000 u . s . jobs . for employer and recruiter avail 75 discount at jobgalleries . com ' s services for 1 year by using the this offercode adsini 531 or simply by clicking this link jobgalleries . comto unsubscribe click here . or simply reply to this e mail and type remove in the subject line",2
"i'll be in albany, but my mom is coming the next day and then i'm moving the following weekend.",0
U have a secret admirer who is looking 2 make contact with Ufind out who they Rreveal who thinks UR so specialcall on 09058094565,2
If i reach 100 subscribers i will tazz my self and my friend,1
"Man she is hot in this one, male companions visit my profile to check out the coolest sextoy ever made!",1
"accordingly. I repeat, just text the word ok on your mobile phone and send",2
3m subscribers but look at the views its 700 million wtf :P,1
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150pmin 18,2
"Wow, Phuket is beautiful, they say. It's bad I need visa for Thailand Bummer!",0
Please CALL 08712402779 immediately as there is an urgent message waiting for you,2
http://www.billboard.com/articles/columns/pop-shop/6174122/fan-army-face-off-round-3 Vote for SONES please....we're against vips....please help us.. >.<,1
:D subscribe to me for daily vines,1
Great weekend!!! Som new colabs in progress,0
everyone come and check out the new GTA 5 Gameplay right Here : /watch?v=6_H0m5sAYho,1
share your thoughts,1
That was fun! Thanks for making me feel welcome,0
Sick . . . Feeling like this may be the longest car ride ever!,0
you dont understand.. u HATE indian. and i'll have to pay $20 at least for food i wont eat,0
"You are a 9.999. Well, you'd be a perfect 10 if you recognize my Twitts.. Just kidding ...",0
"HI!:D!:) We' re TWIN MELODY ,17 year old twins :) WE DID SOME COVERS!!WE DID A COVER OF BIRTHDAY BY KATY PERRY!! PLEASE JUST TAKE 1 SECOND AND WATCH IT!! THANKS,MERCI,GRACIAS,DANKE,OBRIGADO,GRAZIE …. !!! <3 XX HAVE A NICE DAY!!:D",1
It was a saying for that. 'Each day comes bearing its own gifts. Untie the ribbons.' Thank you all !,0
subscribe to my feed,1
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, AcoEntry41 Or 1000. To claim txt DIS to 87121 1861.50moreFrmMob. ShrAcomOrSglSuplt10, LS1 3AJ",2
"Latest Nokia Mobile or iPOD MP3 Player 400 proze GUARANTEED! Reply with WIN to 83355 now! Norcorp Ltd.1,50Mtmsgrcvd18",2
"Soccer training was cancelled, but I still couldn't go to our Pep training. Still sickkk. Rain rain, go awaaaayyyy.",0
"undelivered mail returned to sender this is the zapp smtp program at host mail . zappmobile . ro . i ' m sorry to have to inform you that the message returned below could not be delivered to one or more destinations . for further assistance , please send mail to if you do so , please include this problem report . you can delete your own text from the message returned below . the zapp smtp program host var imap socket lmtp var imap socket lmtp said 552 5 . 2 . 2 over quota in reply to rcpt to command",2
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or 250 cash every wk. Txt VPOD to 81303 TsCs www.textpod.net custcare 08712405020.,2
"SHARON!!!!! lol, track and field, my ozzie glasses, cameron got heat exhaustion, good times, good times",0
"homeowners get more money in your pocket . here is how ! free mortgage quote ! there are over 89 , 000 mortgage companies in the u . s . , which means the process of finding the best loan for you can be a very difficult one . let us do the hard work for you ! simply spend 2 minutes filling out a short form , press the submit button , and we take it from there . . . finding the best deals possible , and getting the lenders to contact you ! it ' s short , it ' s simple , it ' s free , and it will save you thousands of dollars ! click here for your free quote if you would believe you received this email in error , or never subscribed to great weekly offers you may unsubscribe by clicking here .",2
The new Makeup Transformation with Integrated Look-A-Like Feature now available in Ver 1.13! Do you know who you look like? Install or update your version of Makeup Transformation https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation or visit Google Play.,1
Hi. Check out and share our songs.,1
"hey guys if you guys can please SUBSCRIBE to my channel ,i'm a young rapper really dedicated i post a video everyday ,i post a verse (16 bars)(part of a song)everyday to improve i'm doing this for 365 days ,right now i'm on day 41 i'm doing it for a whole year without missing one day if you guys can please SUBSCRIBE and follow me on my journey to my dream watch me improve, it really means a lot to me thank you (:, i won't let you down i promise(: i'm lyrical i keep it real!",1
The wolves look so bad.,0
"URGENT! Your Mobile No. was awarded a 2,000 Bonus Caller Prize on 020903! This is our 2nd attempt to contact YOU! Call 08718729755 BOX95QU",2
got two pairs of glasses for A LOT cheaper than I got for the one pair I bought about 4 years ago. Thanks Costco!,0
morning! i slept like a little angel last night,0
"Welcome, anytime! I do what I can!",0
"you have to be kidding me . this is a special advertisement . 437 e 1000 s pleasant grove , ut 84062 to unsubscribe and not receive any future mailings for any of our offers please click here the link below please refer all questions , opinions or additional feedback to service dept 9420 reseda blvd 133 northridge , ca 91324",2
"Haha, I'll try not to.",0
DANGG NOW i GOTTA PAiNT THE POOL TOO?? WTH iS GOiNG ON iN MY LiFE? DOES -ANYBODY- CARE THAT iM SiCK? ...GUESS NOT,0
":: ATTENTION : WE NEED 10 Million Views More for FIREWORK to Reach 500M .. We have only 1 and half day left for katy's birtgday. Listen How it could be possible?? >>JUST Open different Tabs from Different Browser >>Dont Watch Full Video, Remember We dont have time on hand, Its Time Wasting. View it only for 30 sec. Plz thumbs up and share",1
"of course not laa,,benda mati ini bukan benda idup..me hates belanjaan ku sssttt",0
Ashley was in O-town,0
"Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it",1
Get free gift cards and pay pal money!,1
I think its possibly time for some marble slab ice cream,0
Follow me on Twitter @mscalifornia95,1
"Check out this video on YouTube: ""This Time for Africa"". One for Trayvon! And Our MOTHERland Thank-you Shakira",1
So can you tell us who the surprise birthday was for now?,0
wish i was going to melbourne this wkend for harlot house at tramp!,0
